2,002983932
1,941621189
2,794611059
42,26401404
1,676186834
47,38045572
8,660606913
1,239228125
1,565302374
2,222446615
2,395195662
1,682516653
1,397626952
2,792996192
1,410892133
1,50638824
1,874170796
2,955589952
1,375418644
2,960748248
1,513341537
2,79751498
2,170642012
1,893970168
29,99884288
1,379316021
2,62318463
2,042102363
1,494993112
2,372930854
2,992871579
2,14836049
1,066992673
1,738939178
2,068875286
2,260987574
1,981141133
1,943436729
2,550814355
35,2697007
1,166322114
2,185129566
31,39581267
1,916475608
29,39944704
10,16182197
1,582708496
2,746832977
1,316727484
1,367918625
1,49012672
1,62045824
1,325306039
2,393567362
1,867786422
1,693484183
1,533287294
1,682935432
1,65327928
2,665403053
1,726055296
1,638049248
1,065374648
1,512873298
1,739501093
1,152713304
1,071660476
1,347145939
2,424823029
1,175079936
1,464677788
2,742429453
1,900200455
2,713997802
2,451945219
2,030491766
34,85595768
1,714778792
2,839673624
2,798638583
2,136218411
2,382930914
12,29336221
1,15728963
1,886090241
1,36026139
1,95756899
1,918595102
1,672655388
2,946673057
1,069665641
1,1163169
2,791749582
2,611145519
2,704804099
1,096074821
2,095356238
2,371594989
45,14761938
2,549255258
1,514620928
2,687836176
2,714942579
1,889506928
1,569252034
1,682965507
2,362461312
1,881251504
1,024899104
33,72602828
2,659088572
1,559714138
2,761532065
1,790762462
1,933511522
1,449077884
1,576339913
1,907498908
2,656408734
2,174128093
26,16826454
2,377421489
2,984077271
1,151913415
2,844646122
2,343017724
2,948769317
2,114449193
2,179793713
2,407802462
2,097994502
1,899128113
2,99301102
22,88983484
2,640769406
8,618767937
1,367622282
2,274953537
1,367941612
1,33603337
2,682298113
1,311066983
2,852473626
4,851020325
2,691023315
2,368303637
1,832918222
2,48194349
1,152138982
1,523189027
1,738896405
2,485919642
8,555303766
1,72614269
2,449744004
2,600270267
2,275747273
1,924661181
1,597769367
1,340160321
33,88922352
2,769638758
1,825126278
2,467431772
2,975970366
1,264498421
2,113420226
2,640355028
1,458809225
2,969454697
2,208170277
1,83069897
1,833117121
25,14804829
1,372167163
2,899971294
1,161280735
2,46004516
2,71069541
1,502182697
2,2438209
1,161427243
1,806384036
2,769081242
18,90792431
1,502354829
2,073390166
1,166535365
2,462687358
1,600167581
2,226223131
27,06634693
2,449286654
2,987103693
2,498843629
2,49652223
1,277389707
1,556067461
1,821699791
2,624124326
20,59803102
1,19950703
1,2062962
1,482855849
1,051990338
1,696369866
1,715153852
2,970651113
2,399660029
2,927459183
1,40390943
2,216278282
2,027176619
1,370176226
1,305905869
1,565060984
1,649024028
1,56577107
2,720861745
5,030094074
1,636489907
1,159474047
9,772871413
2,528939218
1,094640878
2,265892084
2,849685742
1,665341912
27,64556609
2,398201076
1,00514963
1,28238232
2,672108199
2,420369556
2,716936068
2,169794998
2,731941252
2,278267043
2,099644514
2,187667748
2,246275542
1,714231176
2,764323056
2,744193782
2,037361517
2,529007013
45,06847119
2,35067586
2,220484356
1,350029785
1,115769735
1,292754075
2,538031268
2,959622798
1,150866444
2,567205903
2,369915959
1,686791673
2,315549953
2,22974009
2,345934687
1,217229794
2,300648784
1,483263142
1,859029953
1,932455756
1,414235761
1,212432084
2,62205232
2,242251562
2,234709164
1,246127937
1,22393773
1,020975855
2,568458999
8,852608611
1,727681851
2,975513315
1,813922153
2,181804412
2,727875225
2,196983451
1,965415535
2,77581631
1,536310635
2,815995721
1,057421643
1,049955904
1,999262735
2,419245085
1,434035656
1,519278048
2,655432546
1,979845164
2,738762858
2,95922618
1,288311197
1,938815328
1,731176614
2,144907239
2,171120236
1,387265726
2,514343081
2,978261191
2,06386503
1,545572997
1,832715687
1,923298304
33,30319668
1,913248966
3,158639308
1,415763648
2,95181312
2,072774212
6,852097647
1,677995569
1,711488805
2,892665272
2,204437912
2,505958307
2,666892148
1,0668669
1,671716117
1,020691467
2,147492953
4,647636437
1,193843893
1,074449688
1,469266858
2,875474089
1,080520309
2,468119512
2,945051873
1,912399595
2,118806766
2,17263476
1,4275571
1,672972353
1,629208696
48,60412932
2,914610052
2,936915114
1,274113876
34,12704825
2,153159637
2,364368254
2,082989724
1,974764617
2,569652365
1,424619069
1,882173664
1,50301126
1,438353652
2,063574892
2,713194862
1,771255136
1,546690324
2,431819161
1,43194345
1,102793638
1,229801785
2,761940737
1,834524254
1,936217098
1,474760416
1,777342495
1,675041896
1,860510845
1,313411431
2,662863623
2,773218905
1,921204521
2,122581379
2,061803078
2,061223435
32,68599627
2,994347658
2,461329577
1,654358233
2,447893242
2,491180478
2,361293591
2,554732125
1,59063412
2,920677682
2,573822958
1,786667898
34,20526998
2,887966483
2,372972068
41,79390628
2,679656398
2,098343664
2,908158486
1,006551329
2,746951493
2,534857946
2,321299467
2,860077126
1,860204369
1,22598107
1,09656607
1,555500003
1,880290046
1,674619085
2,143057879
1,26164464
37,52464692
1,351758616
1,316118011
41,76516871
2,241704174
2,865485809
2,700605783
27,10012855
2,869946238
1,87374564
2,852206939
2,945908793
2,388137459
1,441694116
2,974018614
24,84934713
12,97859956
1,411608567
1,34063521
1,292668987
1,045729177
1,56436482
2,544857318
2,361193065
2,421310063
12,31184311
2,794686825
1,832633786
1,62276844
2,499940675
1,480928014
1,208851281
1,542284293
46,24194163
2,200369149
15,48296473
1,301502453
2,582075165
2,399184798
2,091259006
1,268793853
2,124790377
1,939967977
2,58150125
1,215248193
2,076262226
2,146525772
2,63930159
2,896890032
2,733238974
5,602628357
31,92802965
1,675979024
2,286509858
1,007053766
1,462050404
1,047991755
2,345539103
2,254804415
1,919859326
1,724625986
1,752399104
2,439147523
1,024165898
2,41031853
1,421168441
1,625202403
1,198091701
2,818793795
2,96761603
2,375190156
10,50849928
1,128583248
2,907169733
